record_id,document_id,doi,table_id,pdf_page,verification_status,parameter_raw,component,unit,experimental_value,simulation_value,reported_variation_percent,candidate_pybamm_parameter_name,mapping_status,notes,calculated_absolute_variation_percent,variation_difference_percent,pybamm_value,absolute_difference,relative_difference_percent,comparison_status,comparison_notes
chen2020_table_ix_001,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Positive electrode diffusion coefficient,positive_electrode,m2.s-1,1.48e-15,4e-15,170.0,Positive particle diffusivity [m2.s-1],exact_current_pybamm_name,,170.2703,0.2703,4e-15,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_002,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Negative electrode diffusion coefficient,negative_electrode,m2.s-1,1.74e-15,3.3e-14,1797.0,Negative particle diffusivity [m2.s-1],exact_current_pybamm_name,,1796.5517,0.4483,3.3e-14,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_003,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Positive electrode maximum concentration,positive_electrode,mol.m-3,51765.0,63104.0,22.0,Maximum concentration in positive electrode [mol.m-3],exact_current_pybamm_name,,21.9048,0.0952,63104.0,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_004,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Negative electrode maximum concentration,negative_electrode,mol.m-3,29583.0,33133.0,12.0,Maximum concentration in negative electrode [mol.m-3],exact_current_pybamm_name,,12.0001,0.0001,33133.0,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_005,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Positive electrode 100% SOC stoichiometry,positive_electrode,dimensionless,0.2661,0.27,1.47,,requires_initial_condition_conversion,Stoichiometry is not represented as a direct scalar parameter in the current registry.,1.4656,0.0044,,,,not_directly_mapped,The paper value requires a conversion or derived initial-condition mapping.
chen2020_table_ix_006,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Bruggeman constant,positive_electrode,dimensionless,2.43,1.5,38.0,Positive electrode Bruggeman coefficient (electrolyte),candidate_current_pybamm_name,The paper reports one constant per porous region.,38.2716,0.2716,1.5,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_007,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Bruggeman constant,separator,dimensionless,2.57,1.5,42.0,Separator Bruggeman coefficient (electrolyte),candidate_current_pybamm_name,The paper reports one constant per porous region.,41.6342,0.3658,1.5,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
chen2020_table_ix_008,chen2020_parameterization,10.1149/1945-7111/ab9050,Table IX,20,visually_verified,Bruggeman constant,negative_electrode,dimensionless,2.91,1.5,48.0,Negative electrode Bruggeman coefficient (electrolyte),candidate_current_pybamm_name,The paper reports one constant per porous region.,48.4536,0.4536,1.5,0.0,0.0,exact_match,The paper simulation value matches the exported PyBaMM Chen2020 value.
