time_seconds,time_hours,voltage_v,current_a,discharge_capacity_ah
0.0,0.0,4.080160789145071,5.0,0.0
30.0,0.008333333333333333,4.014147203251817,5.0,0.04166666666666667
60.0,0.016666666666666666,3.9955241749905426,5.0,0.08333333333333334
90.0,0.025,3.988630016570495,5.0,0.125
120.0,0.03333333333333333,3.985961579579467,5.0,0.16666666666666663
150.0,0.041666666666666664,3.9842091559421515,5.0,0.2083333333333333
180.0,0.05,3.981784981124649,5.0,0.24999999999999994
210.0,0.058333333333333334,3.9780500350097046,5.0,0.2916666666666666
240.0,0.06666666666666667,3.972887908398984,5.0,0.33333333333333326
270.0,0.075,3.9664500699594605,5.0,0.37499999999999983
300.0,0.08333333333333333,3.959002816725977,5.0,0.4166666666666665
330.0,0.09166666666666666,3.950841719560157,5.0,0.45833333333333315
360.0,0.1,3.942246762642322,5.0,0.4999999999999998
390.0,0.10833333333333334,3.933443305567361,5.0,0.5416666666666664
420.0,0.11666666666666667,3.924614395745462,5.0,0.583333333333333
450.0,0.125,3.9158891836583196,5.0,0.6249999999999998
480.0,0.13333333333333333,3.9073594162139056,5.0,0.6666666666666663
510.0,0.14166666666666666,3.899084197098913,5.0,0.708333333333333
540.0,0.15,3.891097175705379,5.0,0.7499999999999997
570.0,0.15833333333333333,3.883412768297665,5.0,0.7916666666666663
600.0,0.16666666666666666,3.8760303028872265,5.0,0.8333333333333329
630.0,0.175,3.86893813230542,5.0,0.8749999999999996
660.0,0.18333333333333332,3.8621170698714606,5.0,0.9166666666666663
690.0,0.19166666666666668,3.855542936911633,5.0,0.9583333333333329
720.0,0.2,3.8491871436974643,5.0,0.9999999999999996
750.0,0.20833333333333334,3.8430166868407456,5.0,1.041666666666666
780.0,0.21666666666666667,3.8369953878107967,5.0,1.0833333333333328
810.0,0.225,3.8310847043461242,5.0,1.1249999999999996
840.0,0.23333333333333334,3.825242416399536,5.0,1.166666666666666
870.0,0.24166666666666667,3.819421010832661,5.0,1.2083333333333328
900.0,0.25,3.813563153628606,5.0,1.2499999999999996
930.0,0.25833333333333336,3.8075988813898602,5.0,1.291666666666666
960.0,0.26666666666666666,3.8014399385739934,5.0,1.3333333333333326
990.0,0.275,3.794978179288529,5.0,1.3749999999999993
1020.0,0.2833333333333333,3.7880784848034628,5.0,1.416666666666666
1050.0,0.2916666666666667,3.780581127651446,5.0,1.4583333333333326
1080.0,0.3,3.772321749754627,5.0,1.4999999999999993
1110.0,0.30833333333333335,3.7631685734918303,5.0,1.5416666666666659
1140.0,0.31666666666666665,3.7530865598477807,5.0,1.5833333333333326
1170.0,0.325,3.7422026135570383,5.0,1.6249999999999991
1200.0,0.3333333333333333,3.730819757794619,5.0,1.6666666666666659
1230.0,0.3416666666666667,3.7193435820348473,5.0,1.7083333333333326
1260.0,0.35,3.7081481732464723,5.0,1.7499999999999991
1290.0,0.35833333333333334,3.6974701472042426,5.0,1.7916666666666656
1320.0,0.36666666666666664,3.6873878621129097,5.0,1.8333333333333324
1350.0,0.375,3.677870228546185,5.0,1.8749999999999991
1380.0,0.38333333333333336,3.6688408055377586,5.0,1.9166666666666656
1410.0,0.39166666666666666,3.6602229345239237,5.0,1.9583333333333326
