parameter_name,unit,value_type,numeric_value,text_value,parameter_set_name,pybamm_version,candidate_source_doi,paper_verification_status,paper_page,paper_table,paper_raw_name,paper_raw_value,paper_raw_unit,verification_notes
Negative electrode thermal conductivity [W.m-1.K-1],W.m-1.K-1,scalar,1.7,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode thickness [m],m,scalar,8.52e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative particle diffusivity [m2.s-1],m2.s-1,scalar,3.3e-14,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative particle radius [m],m,scalar,5.86e-06,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Nominal cell capacity [A.h],A.h,scalar,5.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Number of cells connected in series to make a battery,,scalar,1.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Number of electrodes connected in parallel to make a cell,,scalar,1.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Open-circuit voltage at 0% SOC [V],V,scalar,2.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Open-circuit voltage at 100% SOC [V],V,scalar,4.2,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive current collector conductivity [S.m-1],S.m-1,scalar,36914000.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive current collector density [kg.m-3],kg.m-3,scalar,2700.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive current collector specific heat capacity [J.kg-1.K-1],J.kg-1.K-1,scalar,897.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive current collector thermal conductivity [W.m-1.K-1],W.m-1.K-1,scalar,237.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive current collector thickness [m],m,scalar,1.6e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode Bruggeman coefficient (electrode),,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode Bruggeman coefficient (electrolyte),,scalar,1.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode OCP [V],V,function,,pybamm.input.parameters.lithium_ion.Chen2020.nmc_LGM50_ocp_Chen2020,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode OCP entropic change [V.K-1],V.K-1,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode active material volume fraction,,scalar,0.665,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode charge transfer coefficient,,scalar,0.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode conductivity [S.m-1],S.m-1,scalar,0.18,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode density [kg.m-3],kg.m-3,scalar,3262.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode double-layer capacity [F.m-2],F.m-2,scalar,0.2,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode exchange-current density [A.m-2],A.m-2,function,,pybamm.input.parameters.lithium_ion.Chen2020.nmc_LGM50_electrolyte_exchange_current_density_Chen2020,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
